Time,Merge Sort,Quicksort,Randomized Quicksort,Insertion Sort,Quicksort with sorted input,Randomized Quicksort with sorted input,STL sort() function
5,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
100,0,0,0.05005,0,0,0,0
1000,0.1,0.05,0,0.3,0.45,0,0.05
10000,1.62215,0.60305,0.4481,32.3884,28.2717,0.2471,0.4977
100000,17.6954,5.6015,6.8479,3106.04,973.944,3.73985,5.1547
